################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9105493299217047E-01 a       295     0    15     1    15
 -1.4129183505258766E-01 a       296     0    15     1    16
 -3.2085107259069601E-02 a       297     0    15     1    17
  4.5778172750220647E-01 a       298     0    15     1    18
 -2.2678331924804596E-01 a       299     0    15     1    19
  5.7684613177585803E-02 a       300     0    15     1    20
 -2.4012981354574675E-01 a       301     0    16     1     1
 -2.5247749182282930E-01 a       302     0    16     1     2
  1.4151791754873105E-01 a       303     0    16     1     3
 -1.3507670303720931E-01 a       304     0    16     1     4
 -4.5187089026687083E-02 a       305     0    16     1     5
 -2.1475928101028590E-02 a       306     0    16     1     6
  2.1926842603380245E-01 a       307     0    16     1     7
  8.0865272919879494E-02 a       308     0    16     1     8
  8.1793580686776203E-03 a       309     0    16     1     9
 -1.2239662853640336E-02 a       310     0    16     1    10
 -9.4311831381239553E-02 a       311     0    16     1    11
  3.6869875775408983E-01 a       312     0    16     1    12
  1.4541280716161945E-01 a       313     0    16     1    13
 -8.2168180308154731E-02 a       314     0    16     1    14
 -5.0870844380785027E-02 a       315     0    16     1    15
  4.9629917038815939E-02 a       316     0    16     1    16
  5.6813049167396285E-04 a       317     0    16     1    17
  1.0846359942508785E-01 a       318     0    16     1    18
 -1.1803402528033020E-01 a       319     0    16     1    19
 -2.2409454661496406E-01 a       320     0    16     1    20
 -1.0611018732943220E-01 a       321     0    17     1     1
 -8.8262109253910773E-02 a       322     0    17     1     2
  7.2142950329971908E-02 a       323     0    17     1     3
  5.2414920579130095E-02 a       324     0    17     1     4
 -1.2540051622528939E-01 a       325     0    17     1     5
  1.6599385005109560E-01 a       326     0    17     1     6
 -1.2629518208272121E-02 a       327     0    17     1     7
 -2.8952201702820590E-02 a       328     0    17     1     8
  5.9694606726495916E-02 a       329     0    17     1     9
  1.1352652349404027E-01 a       330     0    17     1    10
  1.9523279567572610E-01 a       331     0    17     1    11
 -1.6752797816575052E-01 a       332     0    17     1    12
 -2.8522845199708831E-02 a       333     0    17     1    13
  2.3541871853000140E-01 a       334     0    17     1    14
 -2.7716919637571735E-01 a       335     0    17     1    15
  9.6247926721637803E-02 a       336     0    17     1    16
  2.9991503807177852E-02 a       337     0    17     1    17
  3.4694201544186942E-01 a       338     0    17     1    18
 -4.2346900103983107E-02 a       339     0    17     1    19
 -1.6763865851998491E-01 a       340     0    17     1    20
  2.0188693038015560E-02 a       341     0    18     1     1
 -7.5317722757563946E-02 a       342     0    18     1     2
  2.7130855835647966E-01 a       343     0    18     1     3
  3.9928095856196200E-01 a       344     0    18     1     4
  3.0344048081236391E-02 a       345     0    18     1     5
  3.0452928536424739E-01 a       346     0    18     1     6
 -3.3962796662102124E-01 a       347     0    18     1     7
  4.0254956985150178E-02 a       348     0    18     1     8
 -8.2890402186908463E-02 a       349     0    18     1     9
 -1.6126258213201272E-01 a       350     0    18     1    10
  3.6575070480957028E-01 a       351     0    18     1    11
  3.5126692617855360E-01 a       352     0    18     1    12
 -4.2521938929288218E-02 a       353     0    18     1    13
  3.2800625190760846E-01 a       354     0    18     1    14
 -1.0852534183630050E-01 a       355     0    18     1    15
