################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         75   0.0000000000000000E+00   2.2968199723703591E+00   1.1977396390821395E-01   2.1219112686585320E-01
         1         76   0.0000000000000000E+00   1.9586418806378457E+01   8.2457146129358050E-01   1.6355171290622497E+00
         1         77   0.0000000000000000E+00   4.1130327210691666E+00   1.6711782702017131E-01   3.5309157483441034E-01
         1         78   0.0000000000000000E+00   6.7550962892760502E-01   1.2373259223276712E-02   3.3744327324379875E-02
         1         79   0.0000000000000000E+00   1.3200239923439959E+01   5.3009921378196745E-01   1.0749142575518063E+00
         1         80   0.0000000000000000E+00   3.3821588134271940E+00   1.7793298392019036E-01   3.3414373315887180E-01
         1         81   0.0000000000000000E+00   1.6417768431915782E+00   3.6198003085953293E-02   9.1550049980805820E-02
         1         82   0.0000000000000000E+00   1.3264290461560211E+00   4.1520507073715518E-02   9.1169121922469620E-02
         1         83   0.0000000000000000E+00   4.0426841056816115E-01   1.4587189373380129E-02   2.9824886869674057E-02
         1         84   0.0000000000000000E+00   7.5337003925735946E+00   3.0371421536334747E-01   6.2297988545296645E-01
         1         85   0.0000000000000000E+00   1.8252098492784030E+00   9.4526542327483240E-02   1.8591790275239337E-01
         1         86   0.0000000000000000E+00   2.7210222658072389E+00   1.0543434589220542E-01   2.2860218565827886E-01
         1         87   0.0000000000000000E+00   6.5335689716913137E-01   2.7566088585805872E-02   6.1856343460013001E-02
         1         88   0.0000000000000000E+00   2.7439974233695374E+00   8.8119804040739810E-02   1.9275405875186549E-01
         1         89   0.0000000000000000E+00   7.4147047053746284E-01   3.0476611676711240E-02   6.1597413961631903E-02
         1         90   0.0000000000000000E+00   3.5593421317999518E-01   4.7565219631787656E-03   1.4296394121971362E-02
         1         91   0.0000000000000000E+00   6.4501700061201106E+00   2.3174685020539718E-01   4.9693294153353429E-01
         1         92   0.0000000000000000E+00   1.6572153032397492E+00   7.1952165615281144E-02   1.4746732645267022E-01
         1         93   0.0000000000000000E+00   6.3952738599948533E-01   1.7450786145022937E-02   4.1142789701173500E-02
         1         94   0.0000000000000000E+00   1.9470399619401565E-01   5.7449772914232936E-03   1.3074149690863061E-02
         1         95   0.0000000000000000E+00   3.6429537102340404E+00   1.3162210888723808E-01   2.8578382743743180E-01
         1         96   0.0000000000000000E+00   8.8038684516271504E-01   3.7475216603784736E-02   8.0589520968906161E-02
         1         97   0.0000000000000000E+00   3.9166363762016437E-01   7.6185134497125566E-03   2.1506299339990948E-02
         1         98   0.0000000000000000E+00   1.2695554875867934E+00   4.3880620553083401E-02   1.0111763775459470E-01
         1         99   0.0000000000000000E+00   2.9147427669456372E-01   1.0296411434380537E-02   2.5394483701115501E-02
         1        100   0.0000000000000000E+00   8.4658007775400657E-01   2.1231413937244543E-02   5.3531834280344227E-02
         1        101   0.0000000000000000E+00   2.2691841843659291E-01   6.4460215843344200E-03   1.5870849557729931E-02
         1        102   0.0000000000000000E+00   1.2475746728722936E-01   8.9882357253958853E-04   3.3312183455122798E-03
         1        103   0.0000000000000000E+00   2.0114314268417939E+00   5.6526434942117301E-02   1.3916247091237510E-01
         1        104   0.0000000000000000E+00   5.0375101954082435E-01   1.5056115560278242E-02   3.7241857132074896E-02
         1        105   0.0000000000000000E+00   1.8559123363288010E-01   3.8286055133127700E-03   1.0592655064387677E-02
         1        106   0.0000000000000000E+00   5.9427164872827433E-02   1.1057629625401061E-03   3.1213500574046788E-03
         1        107   0.0000000000000000E+00   2.5956788483588378E-01   7.5393348634001682E-03   1.9477574112700326E-02
         1        108   0.0000000000000000E+00   9.1518441607836551E-02   1.3322732721939145E-03   4.6282785761931813E-03
         1        109   0.0000000000000000E+00   4.3758601945458497E-02   7.2069446582284365E-04   2.1735862455646883E-03
         1        110   0.0000000000000000E+00   3.4936159313873866E-01   9.5175423380117145E-03   2.5198280389534401E-02
         1        111   0.0000000000000000E+00   7.5615756254434896E-02   1.8200944369032312E-03   5.3669711042193726E-03
         1        112   0.0000000000000000E+00   1.4641119894870783E-01   2.2727076866654755E-03   7.6181139579775793E-03
         1        113   0.0000000000000000E+00   3.7869272334960222E-02   5.3679561676378107E-04   1.8978526982029735E-03
         1        114   0.0000000000000000E+00   3.5400797449690485E-01   6.1854809842826755E-03   2.0190100411696124E-02
         1        115   0.0000000000000000E+00   7.7639699052341055E-02   1.2515460725152870E-03   4.3524424216403734E-03
         1        116   0.0000000000000000E+00   2.9382551882158568E-02   3.3012420778129510E-04   1.2333574870885856E-03
         1        117   0.0000000000000000E+00   3.7928218234782873E-02   5.8868773417489586E-04   2.0913398020117168E-03
         1        118   0.0000000000000000E+00   1.1073048265860481E-02   7.6863258054328841E-05   3.8850092293144265E-04
         1        119   0.0000000000000000E+00   2.5686634476595617E-02   2.1558844336062944E-04   1.0551989746184871E-03
         2          1   0.0000000000000000E+00   4.4183951462356710E+00   3.1326315130034404E-01   3.7564007083625972E-01
         2          2   0.0000000000000000E+00   7.5734162340708988E-01   8.1407307493667466E-02   9.0485257101564159E-02
         2          3   0.0000000000000000E+00   1.1403822082463317E+00   1.5335442309631292E-01   1.4712411554723251E-01
         2          4   0.0000000000000000E+00   2.4382887732038641E+00   1.2994421112493953E-01   1.8677291284930383E-01
         2          5   0.0000000000000000E+00   1.0310076721188710E-01   2.9723949380217906E-03   7.1631545040365067E-03
         2          6   0.0000000000000000E+00   2.4691829164827039E-01   8.4145582789259283E-03   1.9383832924041829E-02
         2          7   0.0000000000000000E+00   1.2144335310300240E+00   1.5509068784355918E-02   5.0863616724359302E-02
         2          8   0.0000000000000000E+00   2.9510446913325245E-01   7.9322453759089386E-03   2.0857069101545830E-02
         2          9   0.0000000000000000E+00   1.0185508469651160E-01   2.9259106803229645E-03   7.0656165213738263E-03
         2         10   0.0000000000000000E+00   5.1182078325130824E-02   6.4542765518835687E-04   2.3364209152324680E-03
         2         11   0.0000000000000000E+00   1.2003245028749145E+00   1.5296250859040015E-02   5.0243909808682076E-02
         2         12   0.0000000000000000E+00   9.9413000436395296E-02   2.8352743769050697E-03   6.8748942318479396E-03
         2         13   0.0000000000000000E+00   1.5854390938191250E-02   2.4249407613518382E-04   8.6605573064519800E-04
         2         14   0.0000000000000000E+00   1.1726676062228114E+00   1.4880277319815470E-02   4.9030284175024641E-02
         2         15   0.0000000000000000E+00   7.1915538387733180E-01   6.2498444915028480E-03   2.5820434558352912E-02
         2         16   0.0000000000000000E+00   2.2416692391072313E-01   7.4846453256372080E-03   1.7515639875514442E-02
         2         17   0.0000000000000000E+00   1.1130739164104193E+00   1.3989510754978715E-02   4.6420488750274304E-02
         2         18   0.0000000000000000E+00   4.6886493411778613E-01   1.2165229549032278E-02   3.1826504479219420E-02
         2         19   0.0000000000000000E+00   2.0042501870179730E-01   6.4543400789438118E-03   1.5411353927869759E-02
         2         20   0.0000000000000000E+00   5.1347997480720631E-01   4.1100478902764380E-03   1.7813745453340826E-02
         2         21   0.0000000000000000E+00   1.5197837534194084E-01   3.2724211352980715E-03   9.3250391618888689E-03
         2         22   0.0000000000000000E+00   6.5720087369640134E-02   1.6586209062865690E-03   4.3178358479746028E-03
         2         23   0.0000000000000000E+00   3.7599084515320041E-01   9.0256257390724341E-03   2.4567907461866649E-02
