################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         85   0.0000000000000000E+00   4.5696270472170415E+00   7.2848185375759755E-01   5.4728487081605814E-01
         1         86   0.0000000000000000E+00   4.6154943105962207E+00   8.8136408107655650E-01   6.3330425360499232E-01
         1         87   0.0000000000000000E+00   1.3818648777734304E+00   2.4231824587094863E-01   1.7806301003251560E-01
         1         88   0.0000000000000000E+00   6.8290435518351282E+00   8.7563514346513727E-01   8.7526247106723976E-01
         1         89   0.0000000000000000E+00   2.3094239458728816E+00   3.1501843501117377E-01   3.2534086570669263E-01
         1         90   0.0000000000000000E+00   2.1918396837709868E+00   6.6130721719360325E-02   1.2560978018074451E-01
         1         91   0.0000000000000000E+00   1.4973081384746902E+01   2.2634750330772682E+00   1.8619647355941507E+00
         1         92   0.0000000000000000E+00   4.8246433407654674E+00   7.3263759086308367E-01   6.0779236301540940E-01
         1         93   0.0000000000000000E+00   1.7663301352772041E+00   1.9332851320655900E-01   2.3007296414334255E-01
         1         94   0.0000000000000000E+00   7.2238495811194658E-01   6.8780102252172556E-02   8.9071082968605247E-02
         1         95   0.0000000000000000E+00   8.1786219575478718E+00   1.3215099719002676E+00   1.0271648217850167E+00
         1         96   0.0000000000000000E+00   2.5431445898946672E+00   3.9858613370291029E-01   3.1324895754693843E-01
         1         97   0.0000000000000000E+00   2.8061471073426043E+00   1.2033469321376287E-01   1.8449190755157507E-01
         1         98   0.0000000000000000E+00   2.7658973553483230E+00   4.9669592111671862E-01   3.6042321840654079E-01
         1         99   0.0000000000000000E+00   7.7618084745770821E-01   1.2834624600914626E-01   9.8506813031193366E-02
         1        100   0.0000000000000000E+00   2.6835345056108482E+00   3.3680178331595406E-01   3.3931573853690794E-01
         1        101   0.0000000000000000E+00   8.2588012575187619E-01   1.1347713525397744E-01   1.2352452458188379E-01
         1        102   0.0000000000000000E+00   6.5490976778160304E-01   2.1889975644944985E-02   4.2639788351783170E-02
         1        103   0.0000000000000000E+00   5.4844612002005828E+00   8.7640152337070465E-01   7.4542790818627647E-01
         1        104   0.0000000000000000E+00   1.6473390372197945E+00   2.6091917220874850E-01   2.3716763948104524E-01
         1        105   0.0000000000000000E+00   6.8512719875638328E-01   7.1782529132852380E-02   8.4560145051496879E-02
         1        106   0.0000000000000000E+00   3.0714648939504197E-01   2.3753108064119448E-02   3.1891589817037956E-02
