################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.5126121674972455E-01 a       406     0    21     1     6
  1.9965614580376279E+00 a       407     0    21     1     7
 -4.4806565518874581E+00 a       408     0    21     1     8
  4.8417114102081216E-01 a       409     0    21     1     9
  1.2534599381091487E+00 a       410     0    21     1    10
  1.6786443982763963E-01 a       411     0    21     1    11
 -7.1386687725944220E-01 a       412     0    21     1    12
 -2.0372841438633410E-01 a       413     0    21     1    13
 -1.9826126680232359E+00 a       414     0    21     1    14
 -1.3437756685465283E+00 a       415     0    21     1    15
  9.0163028477949902E-01 a       416     0    21     1    16
  1.8143406241814211E+00 a       417     0    21     1    17
  5.6167968524533451E-01 a       418     0    21     1    18
  5.0965861246998823E-01 a       419     0    21     1    19
  2.8966348632458072E-01 a       420     0    21     1    20
  1.3809342070636361E+00 a       421     0    22     1     1
  1.6313607177729661E+00 a       422     0    22     1     2
  1.1974167745151307E+00 a       423     0    22     1     3
  3.3403180686312989E-01 a       424     0    22     1     4
  1.4445423643399184E+00 a       425     0    22     1     5
  1.2681926210806868E-01 a       426     0    22     1     6
 -2.0838370005404597E-01 a       427     0    22     1     7
  2.2154441919220802E+00 a       428     0    22     1     8
  2.0024707593383315E-01 a       429     0    22     1     9
 -4.2174888762167290E-01 a       430     0    22     1    10
 -5.3224624493671346E-01 a       431     0    22     1    11
  1.7667483748862045E+00 a       432     0    22     1    12
  1.0516233517807437E-02 a       433     0    22     1    13
  1.7374933013261975E+00 a       434     0    22     1    14
 -3.7847430603103835E+00 a       435     0    22     1    15
 -2.8676549462221961E+00 a       436     0    22     1    16
 -6.1666315150771922E-01 a       437     0    22     1    17
  1.8243563400095910E+00 a       438     0    22     1    18
 -2.5824407472027731E+00 a       439     0    22     1    19
  3.2271384175191833E+00 a       440     0    22     1    20
  9.7047862227374715E-01 a       441     0    23     1     1
 -2.1907530510097630E+00 a       442     0    23     1     2
  1.7218168903167892E+00 a       443     0    23     1     3
  2.1839571747284614E+00 a       444     0    23     1     4
 -1.3030908141151376E+00 a       445     0    23     1     5
  4.6051365366934022E-01 a       446     0    23     1     6
  3.1168658222816417E+00 a       447     0    23     1     7
 -6.0251151438273149E+00 a       448     0    23     1     8
  6.8548384540306018E-01 a       449     0    23     1     9
  1.6574700820143544E+00 a       450     0    23     1    10
  3.3802667142432968E-01 a       451     0    23     1    11
  7.2045217565897146E-01 a       452     0    23     1    12
  2.3538335284398646E+00 a       453     0    23     1    13
  7.1291090500266163E-01 a       454     0    23     1    14
  2.0317000085642842E+00 a       455     0    23     1    15
  1.6605233695721724E+00 a       456     0    23     1    16
  3.4201721977679456E+00 a       457     0    23     1    17
  3.7404146130733973E-01 a       458     0    23     1    18
  9.5822917807753705E-01 a       459     0    23     1    19
  5.1210765452749130E-01 a       460     0    23     1    20
 -9.4503938205222859E-01 a       461     0    24     1     1
  1.0750384130186839E+00 a       462     0    24     1     2
  4.0878623007350114E+00 a       463     0    24     1     3
  6.4567775051138365E-01 a       464     0    24     1     4
 -2.5483914214884623E-01 a       465     0    24     1     5
  1.3025672382674527E+00 a       466     0    24     1     6
