################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8625539744525270E+00 a       289     0    15     1     9
  3.2773984592336838E+00 a       290     0    15     1    10
  9.8313456134443478E-01 a       291     0    15     1    11
  2.3340386975510845E+00 a       292     0    15     1    12
 -8.3142131089450955E-01 a       293     0    15     1    13
  3.2126998957349056E+00 a       294     0    15     1    14
  1.8812110037441541E+00 a       295     0    15     1    15
 -4.3470841680511896E+00 a       296     0    15     1    16
 -1.3725452704115768E+00 a       297     0    15     1    17
  2.8030419309098749E+00 a       298     0    15     1    18
 -6.6906384229468729E-01 a       299     0    15     1    19
  2.8373331344219643E+00 a       300     0    15     1    20
  3.6211011749623984E-01 a       301     0    16     1     1
 -1.9172349591812419E+00 a       302     0    16     1     2
 -1.1624695390094239E-01 a       303     0    16     1     3
 -3.4349790761484936E-02 a       304     0    16     1     4
 -7.4044491969424564E-01 a       305     0    16     1     5
 -4.9856552072457422E-01 a       306     0    16     1     6
  4.1408472707668970E-01 a       307     0    16     1     7
  2.8570292458294971E-01 a       308     0    16     1     8
  6.0578864305649172E-01 a       309     0    16     1     9
 -2.6655796263255316E-01 a       310     0    16     1    10
 -4.4390632561479443E-01 a       311     0    16     1    11
 -1.1261734295397927E+00 a       312     0    16     1    12
  1.4548332618638782E+00 a       313     0    16     1    13
  3.6864890315606819E-01 a       314     0    16     1    14
 -6.0147637453164160E-01 a       315     0    16     1    15
  2.3071487214768471E-01 a       316     0    16     1    16
  3.6650536463411498E-01 a       317     0    16     1    17
  1.1021251347044873E-01 a       318     0    16     1    18
  7.4434612952444357E-01 a       319     0    16     1    19
  1.1275216893902664E+00 a       320     0    16     1    20
 -3.2413260416648361E-02 a       321     0    17     1     1
 -1.0610089829418381E+00 a       322     0    17     1     2
  6.7213239992792417E-01 a       323     0    17     1     3
 -1.5801753595511312E+00 a       324     0    17     1     4
 -1.2299114823885544E+00 a       325     0    17     1     5
  3.1717160747691181E-01 a       326     0    17     1     6
  1.1965135311777571E+00 a       327     0    17     1     7
  1.0536382842705581E+00 a       328     0    17     1     8
  8.4301799763224516E-01 a       329     0    17     1     9
  1.4661544109262714E+00 a       330     0    17     1    10
  3.3767607677180228E-01 a       331     0    17     1    11
 -6.8487645553957510E-01 a       332     0    17     1    12
  4.9138162684033598E-01 a       333     0    17     1    13
  3.0200495585260934E-01 a       334     0    17     1    14
  1.3830008166268455E+00 a       335     0    17     1    15
 -1.1597899542372530E+00 a       336     0    17     1    16
  1.3445947428247040E+00 a       337     0    17     1    17
  1.1743553093676959E+00 a       338     0    17     1    18
  2.7791169772683577E-01 a       339     0    17     1    19
 -1.9690782436983775E-01 a       340     0    17     1    20
 -2.9056428484343405E-01 a       341     0    18     1     1
 -5.4523613935096893E-01 a       342     0    18     1     2
 -1.1388829959256253E+00 a       343     0    18     1     3
 -2.8324811947385817E+00 a       344     0    18     1     4
 -6.2651042148939218E-01 a       345     0    18     1     5
  4.7955841358117901E-01 a       346     0    18     1     6
  5.5715975196613277E-01 a       347     0    18     1     7
  1.3013633711396531E+00 a       348     0    18     1     8
  4.5171507548299211E-01 a       349     0    18     1     9
  1.9419536875886745E+00 a       350     0    18     1    10
  8.1555987705772004E-01 a       351     0    18     1    11
 -1.9065599628116632E+00 a       352     0    18     1    12
  7.0015851858879941E-01 a       353     0    18     1    13
 -2.0961902126699222E-01 a       354     0    18     1    14
  1.2116608514836449E+00 a       355     0    18     1    15
 -7.3266870777587079E-01 a       356     0    18     1    16
  9.0922880476587045E-02 a       357     0    18     1    17
  1.4755150976533602E+00 a       358     0    18     1    18
 -6.4795394240489834E-01 a       359     0    18     1    19
  2.0132408283659031E+00 a       360     0    18     1    20
 -7.1524745457204289E-02 a       361     0    19     1     1
 -2.7575469478761705E+00 a       362     0    19     1     2
  9.6622817700334440E-01 a       363     0    19     1     3
 -7.3821695020148215E-01 a       364     0    19     1     4
 -2.0309747590753680E+00 a       365     0    19     1     5
 -8.4342002911553737E-01 a       366     0    19     1     6
 -3.9980698807745879E-02 a       367     0    19     1     7
  5.8244378206987768E-01 a       368     0    19     1     8
  1.7802692283215588E-01 a       369     0    19     1     9
  6.1554556827845164E-01 a       370     0    19     1    10
  2.2595009618951362E-01 a       371     0    19     1    11
 -3.2272249394555008E-01 a       372     0    19     1    12
  2.1910972525373498E+00 a       373     0    19     1    13
  1.6146723676311114E+00 a       374     0    19     1    14
 -1.3639273025675699E-01 a       375     0    19     1    15
 -1.5356241827630628E+00 a       376     0    19     1    16
 -9.0239269821051227E-01 a       377     0    19     1    17
 -2.5412412818913871E-01 a       378     0    19     1    18
  1.1253856352176194E-02 a       379     0    19     1    19
  3.8913631582128367E+00 a       380     0    19     1    20
  5.7992489501172118E-01 a       381     0    20     1     1
 -7.1360644390767769E-01 a       382     0    20     1     2
  5.6858299139264925E-03 a       383     0    20     1     3
  3.7188740371045770E-01 a       384     0    20     1     4
 -7.2997646655301429E-01 a       385     0    20     1     5
 -7.4214239652371983E-01 a       386     0    20     1     6
  9.4891035386983202E-01 a       387     0    20     1     7
  8.0541239070631898E-01 a       388     0    20     1     8
  5.8406755480602823E-01 a       389     0    20     1     9
  1.6025034563697189E+00 a       390     0    20     1    10
  3.5192740525593108E-01 a       391     0    20     1    11
  8.3646626929228396E-01 a       392     0    20     1    12
 -1.9942316672393642E-01 a       393     0    20     1    13
  1.1722217102892525E+00 a       394     0    20     1    14
  6.3719616626349751E-01 a       395     0    20     1    15
 -1.6458362746385540E+00 a       396     0    20     1    16
 -5.6983148435406383E-01 a       397     0    20     1    17
  4.5012481358040635E-01 a       398     0    20     1    18
 -5.2387245480306377E-01 a       399     0    20     1    19
  1.3348623259284891E+00 a       400     0    20     1    20
 -9.1658865957450181E-02 a       401     0    21     1     1
  1.5410081818478624E-01 a       402     0    21     1     2
 -7.3187505767749117E-01 a       403     0    21     1     3
  6.1238799623670537E-01 a       404     0    21     1     4
  1.1066602776908918E+00 a       405     0    21     1     5
  3.3023218430454998E-01 a       406     0    21     1     6
 -7.1004308722479959E-01 a       407     0    21     1     7
  9.0314163090507338E-01 a       408     0    21     1     8
  1.7587299318834324E+00 a       409     0    21     1     9
  2.8482458202600930E-01 a       410     0    21     1    10
 -4.5944807641456781E-01 a       411     0    21     1    11
  8.5950809046394139E-01 a       412     0    21     1    12
 -8.2253499115381912E-01 a       413     0    21     1    13
  7.2861493777876385E-01 a       414     0    21     1    14
  1.2412773257983796E-01 a       415     0    21     1    15
 -2.9339730991338986E-01 a       416     0    21     1    16
 -8.3965221258125866E-01 a       417     0    21     1    17
 -4.4778948653182066E-01 a       418     0    21     1    18
  8.5547675671841378E-02 a       419     0    21     1    19
 -1.9728163976015844E-01 a       420     0    21     1    20
  1.2166325063208843E-02 a       421     0    22     1     1
  1.0458195210647696E+00 a       422     0    22     1     2
 -2.2704013754121710E-01 a       423     0    22     1     3
 -1.7208786339079940E+00 a       424     0    22     1     4
 -2.3914927311736371E+00 a       425     0    22     1     5
  2.1061514750636787E-01 a       426     0    22     1     6
 -4.3603534993987370E-01 a       427     0    22     1     7
  1.0963789402252595E+00 a       428     0    22     1     8
 -6.7237519444285035E-02 a       429     0    22     1     9
  7.9451615612833137E-01 a       430     0    22     1    10
  8.4897709473188110E-01 a       431     0    22     1    11
 -7.0481267670762449E-01 a       432     0    22     1    12
 -2.0990327198170533E+00 a       433     0    22     1    13
  1.8491208714361380E+00 a       434     0    22     1    14
 -7.1799135942869061E-02 a       435     0    22     1    15
 -2.9271242606635726E+00 a       436     0    22     1    16
 -1.4435588026679083E+00 a       437     0    22     1    17
  1.7060889231155882E+00 a       438     0    22     1    18
  1.1653329857586593E-01 a       439     0    22     1    19
  1.7785020093844695E+00 a       440     0    22     1    20
 -1.6530964855190469E-01 a       441     0    23     1     1
  1.4239076956352983E+00 a       442     0    23     1     2
  9.6352997852869904E-01 a       443     0    23     1     3
  1.7270163796982283E+00 a       444     0    23     1     4
  6.2129184478456934E-01 a       445     0    23     1     5
 -1.0103471282135341E+00 a       446     0    23     1     6
  3.8472650844256844E+00 a       447     0    23     1     7
 -3.0753044982176774E+00 a       448     0    23     1     8
  1.5213472746882184E-01 a       449     0    23     1     9
 -2.4876972592734110E+00 a       450     0    23     1    10
 -2.2845864121277395E+00 a       451     0    23     1    11
  1.1388067566820084E+00 a       452     0    23     1    12
  8.8900674078986441E-01 a       453     0    23     1    13
  1.3249733071509668E+00 a       454     0    23     1    14
 -2.9968111745238035E-01 a       455     0    23     1    15
 -1.9424772435440871E+00 a       456     0    23     1    16
  2.1700158117943585E-01 a       457     0    23     1    17
 -6.0288569360283902E-03 a       458     0    23     1    18
  2.8839024068105967E+00 a       459     0    23     1    19
 -2.7771102793931353E+00 a       460     0    23     1    20
  8.3773269218106725E-02 a       461     0    24     1     1
 -1.2924819764240777E-01 a       462     0    24     1     2
 -3.4979891825294779E-01 a       463     0    24     1     3
  9.0535667685124244E-01 a       464     0    24     1     4
  7.5334474792583250E-01 a       465     0    24     1     5
  2.6146312704901692E-01 a       466     0    24     1     6
  2.2734951224381730E+00 a       467     0    24     1     7
 -3.3007798068251970E-01 a       468     0    24     1     8
  7.3492374610161379E-02 a       469     0    24     1     9
 -9.2014596661904802E-01 a       470     0    24     1    10
  4.6039243232665183E-01 a       471     0    24     1    11
  1.9499241019464980E-01 a       472     0    24     1    12
 -3.7712227486829414E-01 a       473     0    24     1    13
  1.0910373475422270E+00 a       474     0    24     1    14
  2.2152709627912529E-01 a       475     0    24     1    15
 -1.0406129441030132E+00 a       476     0    24     1    16
  2.8944415562969017E-01 a       477     0    24     1    17
  8.0956534436718064E-01 a       478     0    24     1    18
  8.5036541667503773E-01 a       479     0    24     1    19
 -1.5816651481639579E+00 a       480     0    24     1    20
  3.2419982274012454E-01 a       481     0    25     1     1
 -7.6797292380075088E-01 a       482     0    25     1     2
 -1.0854354413336707E-01 a       483     0    25     1     3
 -1.1931296589818476E+00 a       484     0    25     1     4
  9.3085391745017121E-01 a       485     0    25     1     5
