################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3239911506752339E-01 a       277     0    14     1    17
  5.5125492201558013E-01 a       278     0    14     1    18
  4.7240310534689839E-01 a       279     0    14     1    19
  9.4809261258717292E-01 a       280     0    14     1    20
 -1.7225191580409724E+00 a       281     0    15     1     1
 -1.1803736176468722E+00 a       282     0    15     1     2
  5.2973707819466054E-01 a       283     0    15     1     3
  6.9802302752342933E-03 a       284     0    15     1     4
 -3.4085652744180278E-01 a       285     0    15     1     5
  5.7061291151028903E-01 a       286     0    15     1     6
 -7.6527358891473296E-01 a       287     0    15     1     7
 -1.1469286752829750E+00 a       288     0    15     1     8
 -5.0345948050148881E-01 a       289     0    15     1     9
  1.2516621654489701E+00 a       290     0    15     1    10
  1.0299444974521732E+00 a       291     0    15     1    11
 -1.3815934239466898E+00 a       292     0    15     1    12
 -1.4747684263432088E+00 a       293     0    15     1    13
 -1.6912875811335082E+00 a       294     0    15     1    14
 -6.0947560261636380E-01 a       295     0    15     1    15
  1.1481339374574704E+00 a       296     0    15     1    16
  5.5479444293940006E-01 a       297     0    15     1    17
  1.0468238226237754E+00 a       298     0    15     1    18
  1.1823076725331858E+00 a       299     0    15     1    19
  1.3602175047546472E+00 a       300     0    15     1    20
 -3.9115017684310555E-01 a       301     0    16     1     1
  1.3276523276900987E+00 a       302     0    16     1     2
 -5.8470875700297631E-01 a       303     0    16     1     3
  7.0338972761999949E-02 a       304     0    16     1     4
  4.4579163135551891E-01 a       305     0    16     1     5
 -3.6628775314295792E-01 a       306     0    16     1     6
  8.1246348946426483E-01 a       307     0    16     1     7
 -4.6704952262862942E-01 a       308     0    16     1     8
 -3.7766314740756382E-02 a       309     0    16     1     9
 -2.1369153921615613E-01 a       310     0    16     1    10
 -7.4131606216233700E-02 a       311     0    16     1    11
  3.4444386302478452E-01 a       312     0    16     1    12
  5.9044599191082059E-01 a       313     0    16     1    13
  5.5480919097868464E-01 a       314     0    16     1    14
 -2.1710431242444736E-01 a       315     0    16     1    15
  2.5711268831640377E-01 a       316     0    16     1    16
 -1.6518619381757102E-01 a       317     0    16     1    17
  1.1650844204609254E-01 a       318     0    16     1    18
 -7.5914478017739151E-01 a       319     0    16     1    19
  5.1454822889197582E-01 a       320     0    16     1    20
 -1.1444975165678124E+00 a       321     0    17     1     1
  2.1512473679835240E-01 a       322     0    17     1     2
  7.0462760706489103E-01 a       323     0    17     1     3
  5.1530838359104332E-02 a       324     0    17     1     4
 -6.0789564681910813E-01 a       325     0    17     1     5
  6.9755428098877981E-01 a       326     0    17     1     6
  4.5849561353850732E-01 a       327     0    17     1     7
 -5.4200444961691396E-01 a       328     0    17     1     8
 -3.8028499382145739E-02 a       329     0    17     1     9
 -4.0937809194035035E-01 a       330     0    17     1    10
  2.1530818049890271E-01 a       331     0    17     1    11
 -4.9256312772148547E-01 a       332     0    17     1    12
 -3.9903838251109147E-01 a       333     0    17     1    13
  1.0232285476025653E-01 a       334     0    17     1    14
 -2.5265978210514323E-01 a       335     0    17     1    15
  1.7878868130561729E+00 a       336     0    17     1    16
 -4.1428181299464201E-01 a       337     0    17     1    17
  6.3596327614207082E-01 a       338     0    17     1    18
  1.3086571107801828E-01 a       339     0    17     1    19
  8.7592055378392064E-01 a       340     0    17     1    20
 -7.1978618181249288E-01 a       341     0    18     1     1
  4.3077246010059167E-01 a       342     0    18     1     2
 -4.0478357152203243E-01 a       343     0    18     1     3
  1.0090521310370366E+00 a       344     0    18     1     4
 -9.2052462192269791E-01 a       345     0    18     1     5
  7.8022652572129103E-01 a       346     0    18     1     6
 -1.3350019303262350E-03 a       347     0    18     1     7
 -1.8340262402159277E-01 a       348     0    18     1     8
 -2.8530305485931534E-01 a       349     0    18     1     9
  2.4395247275582824E-01 a       350     0    18     1    10
  1.0542020904995446E-01 a       351     0    18     1    11
  1.2095120909170387E-02 a       352     0    18     1    12
